trial,total_students,total_companies,companies_ranked,avg_company_ranking,company_popularity_std,company_ranking_skewness,company_ranking_kurtosis,company_entropy,company_outlier_count,company_outlier_percentage,highly_ranked_outlier_count,highly_ranked_outlier_percentage,lowly_ranked_outlier_count,lowly_ranked_outlier_percentage,best_company_avg_ranking,worst_company_avg_ranking,company_ranking_range,top_company,top_company_score,second_company,second_company_score,third_company,third_company_score,most_included_company,most_included_count,company_score_range,total_rankings_given,total_unranked_assignments
30,30,30,29,3.041256157635468,0.8018812594223704,0.40464506808999584,1.2128654193374295,2.469760961810973,3,10.344827586206897,1,3.4482758620689653,2,6.896551724137931,1.0,5.0,4.0,Quantum Forge,24.025,Crimson Arc Media,21.214285714285715,PrismPoint Studios,19.53125,PeakVista Partners,5,4.493749999999999,150,750
31,30,30,30,3.105277777777778,0.7101968739090975,0.3447221167358669,0.036433989083239915,2.531519764647184,0,0.0,0,0.0,0,0.0,1.6666666666666667,5.0,3.333333333333333,BlueFern BioTech,24.21875,Vertex Valley Ventures,21.875,Orion Synergy,19.642857142857142,FusionBridge Networks,4,4.575892857142858,150,750
32,30,30,30,3.043095238095238,0.7027838768971625,0.05109394324039373,-0.6556583887488254,2.4811939311696194,0,0.0,0,0.0,0,0.0,1.6666666666666667,4.5,2.833333333333333,Vertex Valley Ventures,24.21875,Solaris Systems,21.09375,LuxeLoom Enterprises,20.428571428571427,Vortex Venture Group,4,3.790178571428573,150,750
33,30,30,30,2.9836111111111108,0.8166743418662272,-0.1906532798367149,0.33941313744642576,2.586569246460625,0,0.0,0,0.0,0,0.0,1.0,5.0,4.0,Aurora Axis,25.78125,Apexion Innovations,18.75,ZenithWorks,18.4,Solaris Systems,3,7.381250000000001,150,750
34,30,30,30,2.9942063492063498,0.5789343963467438,0.4060020287975793,-0.24878762069416593,2.1348486136508464,0,0.0,0,0.0,0,0.0,2.0,4.5,2.5,DeltaBloom Group,19.642857142857142,Aurora Axis,19.375,Nimbus Nexus,18.75,DeltaBloom Group,3,0.8928571428571423,150,750
35,30,30,30,3.019325396825397,0.6283637887063672,0.5067777166721472,-0.5047501466122255,2.1642928964473436,0,0.0,0,0.0,0,0.0,2.0,4.4,2.4000000000000004,Vortex Venture Group,23.25,Catalyst Core,19.642857142857142,Orion Synergy,17.285714285714285,BlueFern BioTech,3,5.964285714285715,150,750
36,30,30,30,2.8973809523809524,0.7490274873933188,0.40914591001231065,-0.5865622514789246,2.4797991318374057,0,0.0,0,0.0,0,0.0,1.5,4.4,2.9000000000000004,StellarPath Logistics,19.642857142857142,Lumeon Strategies,19.53125,Quantum Forge,18.857142857142858,Crimson Arc Media,4,0.7857142857142847,150,750
37,30,30,30,3.0700396825396825,0.8472823526113424,0.3072189642253249,-0.4369205917763046,2.7357096652829433,0,0.0,0,0.0,0,0.0,1.6,5.0,3.4,Ascendify Technologies,21.214285714285715,Cobalt Circuitry,20.3125,LuxeLoom Enterprises,18.208333333333332,LuxeLoom Enterprises,3,3.005952380952383,150,750
38,30,30,30,3.00973544973545,0.7482056566209155,0.41612524290414243,0.22774482091989068,2.4602209150665963,1,3.3333333333333335,0,0.0,1,3.3333333333333335,1.6666666666666667,5.0,3.333333333333333,Crimson Arc Media,22.555555555555557,HarborWay Holdings,21.214285714285715,PeakVista Partners,18.857142857142858,Lumeon Strategies,3,3.6984126984126995,150,750
39,30,30,30,2.9680291005291,0.8629262601924109,0.026689242723890894,0.1830394920030325,2.6922718656836104,2,6.666666666666667,1,3.3333333333333335,1,3.3333333333333335,1.0,5.0,4.0,HarborWay Holdings,24.21875,Apexion Innovations,18.857142857142858,BlueFern BioTech,17.96875,Catalyst Core,3,6.25,150,750
40,30,30,30,2.973055555555556,0.7008251860186139,0.0404084182058368,-0.5198440093766847,2.4402239289418524,0,0.0,0,0.0,0,0.0,1.5,4.4,2.9000000000000004,Orion Synergy,21.875,Solaris Systems,21.875,HydraFlux Labs,20.925,StellarPath Logistics,4,0.9499999999999993,150,750
41,30,30,30,3.0194841269841266,0.5414199231601653,-0.518576504269963,-0.708204540308762,1.9946625534527107,0,0.0,0,0.0,0,0.0,1.875,3.8,1.9249999999999998,ZenithWorks,25.78125,Lumeon Strategies,20.8125,BlueFern BioTech,19.642857142857142,TitanEdge Consulting,3,6.138392857142858,150,750
42,30,30,30,3.060793650793651,0.628020963072053,0.47968175124766554,-0.05376084959235561,2.263061504480175,1,3.3333333333333335,0,0.0,1,3.3333333333333335,2.0,4.666666666666667,2.666666666666667,Apexion Innovations,21.875,IronClad Systems,19.0,FusionBridge Networks,17.285714285714285,StellarPath Logistics,3,4.589285714285715,150,750
43,30,30,30,2.993333333333333,0.5518523914783261,0.5142752968645719,0.8146756389998839,1.9128025995084716,1,3.3333333333333335,0,0.0,1,3.3333333333333335,2.0,4.6,2.5999999999999996,Nebula Dynamics,22.65625,Crimson Arc Media,19.642857142857142,Quantum Forge,18.857142857142858,Aurora Axis,3,3.7991071428571423,150,750
44,30,30,30,2.9638095238095237,0.4899022600537904,-0.41342487958090784,0.009871447715185777,1.9728284857175908,0,0.0,0,0.0,0,0.0,1.7142857142857142,3.8333333333333335,2.1190476190476195,Ascendify Technologies,23.571428571428573,Nimbus Nexus,21.77777777777778,Crimson Arc Media,20.925,HarborWay Holdings,4,2.6464285714285722,150,750
45,30,30,29,2.9697044334975367,0.7768382426423998,-0.41438418333397387,0.27726183496821566,2.5689968431412344,4,13.793103448275861,3,10.344827586206897,1,3.4482758620689653,1.0,4.5,3.5,BlueFern BioTech,23.25,Ascendify Technologies,19.53125,Catalyst Core,18.75,PeakVista Partners,3,4.5,150,750
46,30,30,30,3.0115873015873027,0.803322062033002,0.10850855403206244,-0.7816187782704351,2.5478605978362863,0,0.0,0,0.0,0,0.0,1.3333333333333333,4.5,3.166666666666667,Quantum Forge,25.78125,HydraFlux Labs,21.214285714285715,Nimbus Nexus,21.0,Catalyst Core,5,4.78125,150,750
47,30,30,30,3.0363347763347766,0.7252686405514959,0.12234297126860752,-0.5123307424799788,2.494739663055176,0,0.0,0,0.0,0,0.0,1.5,4.5,3.0,Nebula Dynamics,29.45,TitanEdge Consulting,26.272727272727273,Orion Synergy,20.428571428571427,FusionBridge Networks,4,9.021428571428572,150,750
48,30,30,30,2.9955291005291005,0.7502829309656579,0.5858915875347767,0.23971857823554066,2.448603730213371,1,3.3333333333333335,0,0.0,1,3.3333333333333335,1.6,5.0,3.4,HydraFlux Labs,29.291666666666668,TitanEdge Consulting,20.3125,Aurora Axis,19.0,Solaris Systems,4,10.291666666666668,150,750
49,30,30,30,3.0413492063492056,0.5636455692989836,-0.4997462056621848,1.2143313058770069,2.010801621331162,3,10.0,2,6.666666666666667,1,3.3333333333333335,1.6,4.333333333333333,2.733333333333333,EchoSphere Analytics,24.025,Magnetar Innovations,18.857142857142858,Aurora Axis,17.6,PeakVista Partners,4,6.424999999999997,150,750
50,30,30,30,2.980039682539682,0.6913996071684182,0.2770852357127273,-0.08842775078921372,2.4023763319496103,0,0.0,0,0.0,0,0.0,1.5,4.666666666666667,3.166666666666667,BlueFern BioTech,21.214285714285715,FusionBridge Networks,20.3125,TerraNova Solutions,18.071428571428573,Nebula Dynamics,3,3.1428571428571423,150,750
51,30,30,30,2.9486507936507933,0.7636160551728945,-0.14096776625319796,0.28021881107586877,2.598277896735806,1,3.3333333333333335,1,3.3333333333333335,0,0.0,1.0,4.75,3.75,Aurora Axis,23.571428571428573,BlueFern BioTech,20.925,TerraNova Solutions,20.3125,Solaris Systems,3,3.258928571428573,150,750
52,30,30,30,3.014113756613756,0.7040478656997173,-0.5217457088091766,0.841738508793898,2.3260265301011662,1,3.3333333333333335,1,3.3333333333333335,0,0.0,1.0,4.4,3.4000000000000004,Magnetar Innovations,24.11111111111111,PrismPoint Studios,23.333333333333332,ZenithWorks,21.214285714285715,Magnetar Innovations,3,2.8968253968253954,150,750
53,30,30,30,2.99531746031746,0.7975587476219473,0.08790941823421114,-0.6371114512471836,2.619250912838829,0,0.0,0,0.0,0,0.0,1.5714285714285714,4.6,3.0285714285714285,EchoSphere Analytics,24.357142857142858,Ascendify Technologies,18.857142857142858,StellarPath Logistics,17.416666666666668,Apexion Innovations,4,6.94047619047619,150,750
54,30,30,29,2.9508210180623977,0.6233673729361211,0.11917947150884621,-1.2368977952283429,2.214152220539396,0,0.0,0,0.0,0,0.0,2.0,4.0,2.0,BlueFern BioTech,24.21875,IronClad Systems,21.7,EchoSphere Analytics,20.041666666666668,EverVault Enterprises,5,4.177083333333332,150,750
55,30,30,30,2.929087301587302,0.7393308706995554,-0.8057656957132763,0.30743223021666033,2.4920415298127034,1,3.3333333333333335,1,3.3333333333333335,0,0.0,1.0,4.0,3.0,Lumeon Strategies,27.125,Aurora Axis,25.575,BlueFern BioTech,21.875,HydraFlux Labs,4,5.25,150,750
56,30,30,30,3.0354629629629626,0.7036240940617654,-0.25671478149608595,-0.7589946207095792,2.452702165427174,0,0.0,0,0.0,0,0.0,1.5,4.333333333333333,2.833333333333333,PrismPoint Studios,26.979166666666668,Catalyst Core,22.785714285714285,Magnetar Innovations,21.77777777777778,Aurora Axis,4,5.201388888888889,150,750
57,30,30,30,3.043015873015873,0.5123223513101585,-0.27416332436799806,-0.42321487221967935,2.169837121742512,0,0.0,0,0.0,0,0.0,1.8333333333333333,4.0,2.166666666666667,HarborWay Holdings,24.11111111111111,ZenithWorks,19.791666666666668,FusionBridge Networks,18.857142857142858,ZenithWorks,3,5.253968253968253,150,750
58,30,30,30,3.0859259259259257,0.6748988671390679,0.46055140691889707,1.0214345142479084,2.346602752036061,1,3.3333333333333335,0,0.0,1,3.3333333333333335,1.5,5.0,3.5,Nebula Dynamics,21.09375,DeltaBloom Group,20.22222222222222,StellarPath Logistics,18.857142857142858,Quantum Forge,4,2.2366071428571423,150,750
59,30,30,30,2.9214550264550265,0.7839692953318181,0.11536489468299242,-1.0761246903541835,2.5357096652829436,0,0.0,0,0.0,0,0.0,1.6666666666666667,4.333333333333333,2.666666666666666,IronClad Systems,23.571428571428573,PeakVista Partners,21.77777777777778,FusionBridge Networks,18.75,Aurora Axis,4,4.821428571428573,150,750
60,30,30,30,3.0668109668109667,0.6990396612562566,-0.12792807303388473,-0.6694203552023108,2.6057051809532723,0,0.0,0,0.0,0,0.0,1.6,4.5,2.9,HarborWay Holdings,26.272727272727273,Crimson Arc Media,25.666666666666668,StellarPath Logistics,18.208333333333332,EchoSphere Analytics,4,8.064393939393941,150,750
61,30,30,30,2.9838888888888886,0.5802382037937948,0.29642895966752375,-0.46731622945859685,2.128282381065477,0,0.0,0,0.0,0,0.0,2.0,4.285714285714286,2.2857142857142856,TitanEdge Consulting,20.428571428571427,Lumeon Strategies,20.3125,EverVault Enterprises,18.857142857142858,ZenithWorks,3,1.5714285714285694,150,750
62,30,30,30,3.07505291005291,0.6437962124540063,0.24953512539242928,1.965476800629542,2.2929480695548334,2,6.666666666666667,1,3.3333333333333335,1,3.3333333333333335,1.3333333333333333,5.0,3.666666666666667,HarborWay Holdings,22.65625,TerraNova Solutions,21.875,Aurora Axis,19.53125,Cobalt Circuitry,3,3.125,150,750
63,30,30,29,2.9334228989401407,0.6664311240154569,0.2329873249021725,-0.971742102805131,2.1669775462548913,0,0.0,0,0.0,0,0.0,2.0,4.25,2.25,FusionBridge Networks,23.4375,Aurora Axis,21.0,TitanEdge Consulting,20.863636363636363,Catalyst Core,3,2.5738636363636367,150,750
64,30,30,30,2.951243386243386,0.687298186732711,-0.34315139248547033,0.7969468176035495,2.3512809122619043,2,6.666666666666667,1,3.3333333333333335,1,3.3333333333333335,1.0,4.5,3.5,ZenithWorks,20.428571428571427,Solaris Systems,20.3125,TitanEdge Consulting,20.22222222222222,FusionBridge Networks,4,0.20634920634920562,150,750
65,30,30,30,2.960092592592593,0.762370928289981,0.004639145363543356,0.520675883222252,2.5329145639793977,1,3.3333333333333335,1,3.3333333333333335,0,0.0,1.0,4.666666666666667,3.666666666666667,PrismPoint Studios,22.785714285714285,LuxeLoom Enterprises,19.53125,Nimbus Nexus,18.857142857142858,Quantum Forge,4,3.928571428571427,150,750
66,30,30,30,2.99505291005291,0.6529087912570455,-0.19665107406566423,-0.11430579785548112,2.3546097612655665,1,3.3333333333333335,1,3.3333333333333335,0,0.0,1.5,4.333333333333333,2.833333333333333,Solaris Systems,19.53125,PeakVista Partners,19.53125,LuxeLoom Enterprises,18.857142857142858,Lumeon Strategies,3,0.6741071428571423,150,750
67,30,30,30,2.9669047619047624,0.6949189580639198,-0.4715957219433229,1.4332291142772897,2.233800152527589,3,10.0,2,6.666666666666667,1,3.3333333333333335,1.0,4.666666666666667,3.666666666666667,Aurora Axis,22.475,ZenithWorks,20.3125,BlueFern BioTech,19.53125,Catalyst Core,3,2.9437500000000014,150,750
68,30,30,29,2.948003433348261,0.7408394012820696,0.21804733554104058,-0.9871778216846905,2.388130894939975,0,0.0,0,0.0,0,0.0,1.6666666666666667,4.333333333333333,2.666666666666666,Nimbus Nexus,27.125,Vortex Venture Group,24.727272727272727,Solaris Systems,18.208333333333332,ZenithWorks,3,8.916666666666668,150,750
69,30,30,30,2.9708766233766233,0.7212884758252296,-0.7560123467182173,1.0671205287767709,2.3642014310253883,2,6.666666666666667,2,6.666666666666667,0,0.0,1.0,4.5,3.5,TitanEdge Consulting,27.75,Magnetar Innovations,23.25,LuxeLoom Enterprises,23.181818181818183,EverVault Enterprises,3,4.568181818181817,150,750
70,30,30,30,2.9071825396825397,0.7084345321422225,-0.4239396786926156,-0.562648995042137,2.552584246172162,0,0.0,0,0.0,0,0.0,1.3333333333333333,4.0,2.666666666666667,BlueFern BioTech,20.15,PeakVista Partners,19.642857142857142,IronClad Systems,19.53125,Ascendify Technologies,4,0.6187499999999986,150,750
71,30,30,30,3.0164285714285715,0.6625833993912797,0.4820502213371964,0.9984486396948702,2.2530408842698137,2,6.666666666666667,1,3.3333333333333335,1,3.3333333333333335,1.75,5.0,3.25,EverVault Enterprises,20.428571428571427,Nebula Dynamics,19.0,FusionBridge Networks,18.75,Solaris Systems,4,1.678571428571427,150,750
72,30,30,30,2.997645502645503,0.6636679687370239,0.4259379094446013,0.052538170613201096,2.356774146807922,1,3.3333333333333335,0,0.0,1,3.3333333333333335,1.8333333333333333,4.666666666666667,2.833333333333334,Vertex Valley Ventures,20.3125,Quantum Forge,19.791666666666668,Apexion Innovations,19.444444444444443,DeltaBloom Group,3,0.8680555555555571,150,750
73,30,30,30,3.054960317460318,0.751970018086012,-0.5448995322653991,-0.3380549022854611,2.464456303812389,0,0.0,0,0.0,0,0.0,1.3333333333333333,4.25,2.916666666666667,Vertex Valley Ventures,22.785714285714285,Ascendify Technologies,22.166666666666668,EverVault Enterprises,21.09375,Magnetar Innovations,3,1.6919642857142847,150,750
74,30,30,30,2.9366402116402117,0.7717673998784421,0.17984270348432593,0.4100457662523609,2.426678197056295,1,3.3333333333333335,1,3.3333333333333335,0,0.0,1.0,4.6,3.5999999999999996,HarborWay Holdings,23.895833333333332,Aurora Axis,22.65625,Cobalt Circuitry,22.555555555555557,TitanEdge Consulting,3,1.340277777777775,150,750
75,30,30,30,3.0150793650793655,0.5400384855596992,-0.014097269135091883,-0.3718622945122658,2.0660528684552535,0,0.0,0,0.0,0,0.0,2.0,4.2,2.2,TitanEdge Consulting,21.09375,BlueFern BioTech,20.428571428571427,Orion Synergy,19.53125,PrismPoint Studios,3,1.5625,150,750
76,30,30,30,2.9915873015873014,0.6623844850970272,-0.0460188449665364,-1.1314005615780773,2.3559130951758247,0,0.0,0,0.0,0,0.0,1.8,4.0,2.2,EchoSphere Analytics,24.21875,PeakVista Partners,18.666666666666668,ZenithWorks,18.071428571428573,FusionBridge Networks,3,6.147321428571427,150,750
77,30,30,30,3.107133699633699,0.5788895823428553,0.20820111487725249,-0.5733107847368051,2.263061504480175,0,0.0,0,0.0,0,0.0,1.8333333333333333,4.25,2.416666666666667,Nebula Dynamics,31.53846153846154,EchoSphere Analytics,23.333333333333332,Vortex Venture Group,22.65625,ZenithWorks,3,8.88221153846154,150,750
78,30,30,29,3.0211698263422404,0.7050261916541273,0.8866581076607796,0.8985046332132423,2.2888950136097135,3,10.344827586206897,0,0.0,3,10.344827586206897,2.0,5.0,3.0,FusionBridge Networks,24.727272727272727,ZenithWorks,20.3125,Catalyst Core,20.3125,EverVault Enterprises,4,4.414772727272727,150,750
79,30,30,30,3.003452380952381,0.644526794706512,0.4213064152581325,-0.19016452772347758,2.346602752036061,0,0.0,0,0.0,0,0.0,1.8,4.5,2.7,Ascendify Technologies,24.11111111111111,Solaris Systems,21.09375,IronClad Systems,18.857142857142858,DeltaBloom Group,4,5.253968253968253,150,750
80,30,30,30,3.0664285714285713,0.6380470693735735,0.5292034846325306,-0.5388213168487552,2.29155327022262,0,0.0,0,0.0,0,0.0,2.0,4.5,2.5,Orion Synergy,24.8,Magnetar Innovations,21.214285714285715,Vortex Venture Group,21.0,TitanEdge Consulting,3,3.8000000000000007,150,750
81,30,30,29,3.0111111111111115,0.5994925769107327,-0.1797691153840394,0.3772666728791978,2.3014649438373094,1,3.4482758620689653,1,3.4482758620689653,0,0.0,1.4,4.25,2.85,Cobalt Circuitry,22.65625,Nimbus Nexus,19.642857142857142,Crimson Arc Media,18.857142857142858,BlueFern BioTech,2,3.7991071428571423,150,750
82,30,30,30,3.058915343915344,0.7239359771691006,0.43839980586146854,0.33144873513128426,2.4125932148315044,1,3.3333333333333335,0,0.0,1,3.3333333333333335,1.6666666666666667,5.0,3.333333333333333,Nebula Dynamics,23.333333333333332,Nimbus Nexus,20.583333333333332,Lumeon Strategies,18.75,Nimbus Nexus,3,4.583333333333332,150,750
